quantity,kgPrice,dateUnix,dateIso
14137.2,3.854611946,1498860000,30/06/2017
10000,3.863667008,1499032800,02/07/2017
14137.2,3.854610531,1499032800,02/07/2017
7500,5.651353344,1499032800,02/07/2017
10000,3.704165008,1499032800,02/07/2017
10000,3.704165008,1499032800,02/07/2017
14137.2,3.854611244,1499032800,02/07/2017
12000,3.90116584,1499032800,02/07/2017
17789.2,3.904709041,1499119200,03/07/2017
11972,3.775551286,1499119200,03/07/2017
15000,3.181500005,1499119200,03/07/2017
200,4.21194252,1499205600,04/07/2017
16000,3.058375,1499205600,04/07/2017
1000,3.315089914,1499292000,05/07/2017
16500,3.264,1499378400,06/07/2017
10000,3.9087,1499378400,06/07/2017
