dateUnix,dateIso,kgPrice,quantity
1498168800,22-06-17,15.26772985,2000
1498168800,22-06-17,15.26772985,2000
1498168800,22-06-17,10.34751603,2500
1498341600,24-06-17,11.57480315,1000
1498428000,25-06-17,9.747720064,1250
1498514400,26-06-17,11.19704336,3000
1498514400,26-06-17,10.69747002,5000
1498514400,26-06-17,11.19704336,3000
1498514400,26-06-17,10.7969,16000
1498514400,26-06-17,16.4062042,2400
1498514400,26-06-17,10.99742333,6000
1498514400,26-06-17,12.99654667,1500
1498514400,26-06-17,10.3276056,1800
1498514400,26-06-17,10.947435,4000
1498514400,26-06-17,11.19704336,3000
1498514400,26-06-17,10.69747002,5000
1498514400,26-06-17,11.19704336,3000
1498687200,28-06-17,9.763779528,10000
1498687200,28-06-17,19.8,975
1498687200,28-06-17,11.3477,2000
1498687200,28-06-17,11.19704336,3000
1498687200,28-06-17,19.8,975
1498687200,28-06-17,19.8,975
1498687200,28-06-17,9.848,10000
1498687200,28-06-17,45.78834855,22
1498687200,28-06-17,11.3477,2000
1498687200,28-06-17,11.3477,2000
1498687200,28-06-17,9.848,10000
